day,store_type,channel,campaign_network,installs,cost,all_revenue_total_d0,all_revenue_total_d3,all_revenue_total_d7,all_revenue_total_d14,all_revenue_total_d30,all_revenue_total_d60,all_revenue_total_d90,all_revenue_total_d120,all_revenue_total_m6,retention_rate_d1,retention_rate_d3,retention_rate_d14,retention_rate_d30,retention_rate_d60,retention_rate_d90,retention_rate_d120,retention_rate_m6,ecpi_all
2025-01-05,google_play,Organic,unknown,4862,0.0,96.2518,175.7861,247.0595,288.493,343.9564,417.1459,463.6214,508.1056,854.4301,0.1896,0.1,0.0446,0.0241,0.0148,0.0105,0.0076,0.0284,0.0
2025-01-07,google_play,Organic,unknown,4641,0.0,115.668,194.1364,244.6884,313.8817,365.5624,438.4545,450.1976,468.4444,546.1824,0.1972,0.1187,0.0396,0.0246,0.011,0.0095,0.0069,0.0254,0.0
2025-01-08,google_play,Organic,unknown,4624,0.0,102.8831,220.1432,284.5347,355.647,520.823,686.4212,731.0798,763.237,854.9434,0.1944,0.1168,0.0413,0.0268,0.0136,0.0095,0.0084,0.0229,0.0
2025-01-06,google_play,Organic,unknown,4362,0.0,95.2548,156.1988,271.4946,320.192,399.0667,576.4855,626.0098,650.21,730.4982,0.1914,0.1077,0.0383,0.0271,0.0149,0.0119,0.0073,0.0248,0.0
2025-01-03,google_play,Organic,unknown,4282,0.0,105.8177,164.1664,221.5408,257.3836,336.0296,415.2292,457.6118,477.6523,551.221,0.1889,0.1009,0.0437,0.0229,0.0159,0.0105,0.0063,0.0255,0.0
2025-01-04,google_play,Organic,unknown,4138,0.0,97.3182,153.1638,194.0317,239.007,302.0825,448.8688,490.0511,528.222,568.6292,0.1875,0.1039,0.0404,0.023,0.0133,0.0116,0.0053,0.0275,0.0
2025-07-06,google_play,Organic,unknown,3980,0.0,74.791,99.6366,141.9396,171.5966,288.8426,440.6211,485.916,565.0066,783.5552,0.1525,0.0807,0.0339,0.0183,0.0101,0.0073,0.0055,0.0256,0.0
2026-01-04,google_play,Organic,unknown,3863,0.0,67.6265,128.2232,163.067,204.1208,267.2182,373.0838,406.0447,0.0,0.0,0.1416,0.0792,0.0295,0.0163,0.0093,0.006,0.0,0.0,0.0
2026-01-03,google_play,Organic,unknown,3847,0.0,62.4711,87.9984,109.9209,132.5452,172.1046,217.8812,227.9128,0.0,0.0,0.1292,0.0678,0.0294,0.0151,0.0081,0.007,0.0,0.0,0.0
2025-07-05,google_play,Organic,unknown,3805,0.0,65.0539,100.732,166.7478,197.751,248.5516,334.0019,386.0995,427.8796,558.9024,0.1601,0.0828,0.031,0.02,0.0092,0.0097,0.0058,0.0252,0.0
